[2025-11-18 09:11:50] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-11-17
正在获取论文...
[arXiv] 2025-11-17 | Segment Anything Across Shots: A Method and Benchmark
[NO] 1241/1881 | On generation of adversarial sequences for recurrent neural networks in classification and forecasting
[NO] 1242/1881 | Design and Implementation of a Robotic System for Automated Page Turning And OCR-Based Text-to-Speech Conversion System
[NO] 1243/1881 | Enhancing Stock Market Price Prediction with Advanced Machine Learning Techniques: A Comparative Study
[NO] 1244/1881 | Improvement in harmonic reduction of multipulse rectifier for X-ray generator
[NO] 1245/1881 | Secure and Energy-Efficient Load Balancing for Fog Computing in SDN Environments
[NO] 1246/1881 | A Machine Learning Approach to Load Forecasting Using Extreme Gradient Boosting with Cross-Validation Technique
[NO] 1247/1881 | Graph Neural Networks for Customer Churn Analysis in Subscription-Based Business Models
[NO] 1248/1881 | Neural Networks and Transformers for EEG- Based Neurological Disorder Detection
[NO] 1249/1881 | Energy Management in a Fuel Cell based Hybrid Electric Vehicle Using Machine Learning
[NO] 1250/1881 | Robust Position Control of a DC Servo Using State Feedback Super-Twisting Sliding Mode Control
[NO] 1251/1881 | Deep Reinforcement Learning for Dynamic Pricing Strategies in Revenue Management
[NO] 1252/1881 | A Theoretical Multilevel Adaptive Framework for Social Sustainability in Flexible Distribution Systems
[NO] 1253/1881 | Dementia Patients for Raspberry Pi and YOLOv5 using Machine Learning
[NO] 1254/1881 | Single-Cell Universal Logic-in-Memory Using 2T-nC FeRAM: An Area and Energy-Efficient Approach for Bulk Bitwise Computation
[NO] 1255/1881 | Network Fiber Costing Accuracy Through Geospatial and Non-Planar Terrain Management
[NO] 1256/1881 | A Machine Learning Framework for Fish Selection in Sustainable Aquaculture
[NO] 1257/1881 | An Optimized Neural Network driven Intelligent System for Date Fruit Classification and Analysis in Smart Agricultural Practices and Sustainable Economic Growth
[NO] 1258/1881 | HiFi-LLP: High-Fidelity, Low-Cost Latency Predictors with Confidence for Robust HW-NAS
[NO] 1259/1881 | Transformative Innovations in Organic and 2D Materials for Next-Gen Flexible and Wearable Electronics
[NO] 1260/1881 | Automatic Vehicle Control Using Visible Light Communication
[NO] 1261/1881 | Pattern-Based Model-Driven UI Prototyping from Two-Hemisphere Models
[NO] 1262/1881 | Real-Time Question Generation from Educational Video Lectures using Deep Learning
[YES] 1263/1881 | Accelerate On-Chip Artificial Neural Network Training: a Customised fNIRS Signals Processing System-on-Chip
[NO] 1264/1881 | Comparative Analysis of ANNs and SNNs for Road Sign Detection in Autonomous Driving
[NO] 1265/1881 | Fake News Detection based on Deep Learning using Saudien Dialect
[NO] 1266/1881 | A Smart Adaptive Beaconing Framework Using Fuzzy Logic for Geographical-Based Mobile Ad-Hoc Network Routing
[NO] 1267/1881 | 3D-Aware Latent-Space Reenactment: Combining Expression Transfer and Semantic Editing
[NO] 1268/1881 | An Empirical Assessment of Student Mood Profile Prediction Using Ensemble Machine Learning Techniques
[NO] 1269/1881 | Active Fault Tolerant Control by Bond Graph Reduced Observer: Stringing Machine Study Case
[NO] 1270/1881 | System Level Acceleration of Banded Smith Waterman on FPGA
[NO] 1271/1881 | A Fuzzy Logic Controller for Real-Time Operation in LabVIEW of a Portable Chemical Reactor for Industrial Applications
[NO] 1272/1881 | TEMPORA: Intelligent Weather Monitoring and Disaster Forecasting System
[NO] 1273/1881 | A Hybrid Approach to Real-Time Flood Susceptibility Mapping Using Machine Learning and Open-Source Data
[NO] 1274/1881 | Comparative Analysis of Machine Learning Models for Short-Term Distribution System Load Forecasting
[NO] 1275/1881 | Leveraging 3D CNNs for Robust Detection of GAN-Generated Medical Image Forgeries
[NO] 1276/1881 | Exploring AI in Kidney Tumor Detection: A Critical Analysis of Radiomics and Deep Learning Techniques
[NO] 1277/1881 | Hybrid Based Deep Learning Technique for Liver Tumor Segmentation using CT Images
[NO] 1278/1881 | Software Managed Networks via Coarsening
[YES] 1279/1881 | Programmable and Adaptive Scheduling for Distributed Systems
[NO] 1280/1881 | Football Games as Proxsituated Visualizations in eXtended Reality
[NO] 1281/1881 | The Role of Inelastic Proton Tunneling in Generating Point Mutations and Genetic Diversity in DNA
[NO] 1282/1881 | 2025 Index IEEE Transactions of Microwaves
[NO] 1283/1881 | Scalable Deep Joint Source-Channel Coding for Multi-User Wireless Image Transmission with Diverse Bandwidth Conditions
[NO] 1284/1881 | Advances in Magnetic Sensing Technologies for Small Target Detection: A Review
[NO] 1285/1881 | Scanning the Literature/Edited by Xiaohua Tian
[NO] 1286/1881 | Mitigating Practical Limitations of LQR for Optimal Control of Grid-Tied Voltage Source Inverter via LQG(MEE) Integration
[NO] 1287/1881 | Magnet Arrangement Design and Comprehensive Analysis of a Spilt-Tooth Permanent Magnet Arc Motor Based on Poynting Theory
[NO] 1288/1881 | IEEE ComSoc Training
[NO] 1289/1881 | Sustainable Empowerment: A Solar-Powered Vision for Girls in Science, Technology, Engineering, and Mathematics
[NO] 1290/1881 | Pattern Reconfigurable Circularly Polarized Yagi-Uda Dielectric Resonator Antenna
[NO] 1291/1881 | Beyond 1.6 Tbps silicon LAN-WDM transmitter for high-energy-efficiency transmission
[NO] 1292/1881 | A Novel Multi-Timescale Reactive Power Optimization Framework for Power Systems Considering the Stability Region of Grid-Forming Wind Turbines
[NO] 1293/1881 | Language-Assisted Reconstruction for Self-Supervised Category-level 6D Object Pose Estimation with Coarse-to-Fine Correspondence Optimization
[NO] 1294/1881 | Intelligent Handover Orchestration in Beyond 5G and Urban V2X Dual Connectivity Networks: A Deep Reinforcement Learning Approach
[NO] 1295/1881 | Embracing Cacophony: Explaining and Improving Random Mixing in Music Source Separation
[NO] 1296/1881 | A Multi-Modal Spatio-Temporal Fusion Network with Physical-Data Driven Learning for Additive Manufacturing Fault Diagnosis
[NO] 1297/1881 | LAS-GP: Harnessing Large Semantic Libraries for Evolutionary Feature Construction in Symbolic Regression_supp1-3632839.pdf
[NO] 1298/1881 | Early prediction of pathologic complete response to neoadjuvant chemotherapy in breast cancer based on multimodal ultrasound and pathological image
[NO] 1299/1881 | A Meta-Unified Global Cyber Threat Intelligence Model for Industrial Cross-Cloud Networks
[NO] 1300/1881 | 2025 IEEE Electrical Power and Energy Conference (EPEC)
[NO] 1301/1881 | Review of Monochromatic Ellipsometry: Emerging technologies &amp; Up-to-date Applications
[NO] 1302/1881 | Mind AI's Mind: A Clinically Aligned Explainable AI Pipeline for Depression Diagnosis via Large Language Models
[NO] 1303/1881 | Hi-RQCT: Hierarchical Residual-Quantized Causal Transformer for High-Quality 3D Human Motion Generation
[NO] 1304/1881 | Modeling and Optimal Operation of Thermoelectric Microgrids with Phase-Change Material Thermal System
[NO] 1305/1881 | Interactive Visualization of Data from a Ceramic Printer
[NO] 1306/1881 | Recent Advances in Deep Learning for Diagnosing and Prognosing Age Related Macular Degeneration Using Optical Coherence Tomography
[NO] 1307/1881 | Toward Reinforcement Learning-Based Filter Switching for Radar Target Tracking
[NO] 1308/1881 | End-To-End Containerized Testbed for Evaluation of Next-Generation Wireless Technology Dataset
[NO] 1309/1881 | Machine Learning and Deep Learning-Based Framework for Crop Area and Yield Estimation in Agricultural Analytics
[NO] 1310/1881 | Fine-tuned Deep Transfer Learning based Model using VGG16 and Inception V3 for Multi-class Classification of Rice Leaf Disease
[NO] 1311/1881 | Grid Connected Small Modular Reactors: Opportunities and Nuclear Challenges
[NO] 1312/1881 | Comprehensive Demographic Analysis of Pancreatic Cancer Mortality in the United States
[NO] 1313/1881 | Selecting Corporate Taxpayer Audit Candidates: a Tabnet-Based Semi-Supervised Learning Approach with Undersampling
[NO] 1314/1881 | Advancing Early Breast Cancer Diagnosis: A High-Performance SVM Model with Optimized Hyperparameters
[NO] 1315/1881 | Impact Assessment of the DORA Regulation on IT Governance
[NO] 1316/1881 | SIMAX: a SIMD-Based Many-Core Accelerator for Matrix-Vector Multiplication for Transformers
[NO] 1317/1881 | On Efficient Crosstalk Predictability for Fanout Package Designs
[NO] 1318/1881 | Multivariate Load Forecasting for Integrated Energy Systems Based on VMD-BiLSTM-MTL
[NO] 1319/1881 | Programmable Impulse and Random Noise Generation Circuit for Power Integrity Tests
[NO] 1320/1881 | AI-Powered Robotics for Minimally Invasive Cancer Surgeries
[NO] 1321/1881 | Implementation of Drive Signal in DC-DC Converters for Chaos Synchronization
[NO] 1322/1881 | Fast Distribution Grid Topology Estimation via Subset Sum
[NO] 1323/1881 | OPAMP-Free Ferroelectric Capacitive Computing-in-Memory Accelerator for Energy-Efficient Binary Neural Networks
[NO] 1324/1881 | Curtailment Inversion when Encoding Rule-Based Priority Order into Distribution OPF
[NO] 1325/1881 | Towards the Design and Analysis of a Temperature-Independent Resistor Using Two-Resistor Combinations
[NO] 1326/1881 | A Hybrid AI Framework for Cardiovascular Digital Twins: Integrating Data-Driven and Physics-Informed Models
[NO] 1327/1881 | Automated Diagnosis of Breast Cancer using Deep Learning Algorithm
[YES] 1328/1881 | Rust for Safety and Security Critical Systems
[NO] 1329/1881 | A hybrid genetic algorithm for green vehicle routing problem
[NO] 1330/1881 | Comparative Analysis of Deep Learning Models for Crop and Weed Classification using CWD30, DeepWeed, and Rf100 Datasets
[NO] 1331/1881 | AI Relational Safety and Digital Transformation Success: The Mediating Role of Human-AI Collaborative Efficacy
[NO] 1332/1881 | Baseline Adjustment and Thresholding for Improved Spectral Analysis of Ambient Synchrophasor Data
[NO] 1333/1881 | Predicting Wave Power Along India’s Coast
[YES] 1334/1881 | Automated MATLAB™-to-HLS Conversion and Exploration for DoD ASIC/FPGA Development
[NO] 1335/1881 | The Multiple Data Model Framework to Identify Unusual Patterns or Behaviors and Proactive Intervention
[YES] 1336/1881 | A DNN-Oriented Rapid Simulation Framework for Digital Processing-In-Memory Architectures
[NO] 1337/1881 | Machine Learning-Driven Feature Prioritization for Battery Electric Vehicle Charging Infrastructure in Highly Polluted Area
[NO] 1338/1881 | Multi-Label Glioma Segmentation Post-Treatment: A 3D U-Net Approach
[NO] 1339/1881 | Generating High-Fidelity Synthetic ECG Signals Using Deep Autoencoder Architectures
[NO] 1340/1881 | Grid-Integrated Photovoltaic System for Electric Vehicle Charging Station with Dynamic Energy Management
[NO] 1341/1881 | Exploring the Role of Feature Selection in Multi-Class Diabetes Prediction
[NO] 1342/1881 | Towards Incremental MTU Upgrade for the Internet
[NO] 1343/1881 | Chat with AI: The Surprising Turn of Real-time Video Communication from Human to AI
[NO] 1344/1881 | Development and Validation of the General-Purpose PlayfulQuest Scale: Investigating Playfulness in Dating App Use
[NO] 1345/1881 | IC_ASET 2025 TOC
[NO] 1346/1881 | An Adaptive Virtual Impedance-Based Closed-Loop Voltage Control Strategy for Smart Transformer-Interfacing Distribution Grid with High PV Penetration
[NO] 1347/1881 | Transparent Lifting Assistance Strategy for Arm Exoskeletons Using an Adaptive Torque Controller_supp2-3616399.mp4
[NO] 1348/1881 | Beyond Bias and Error: Institutionalizing the Fifth Hand to Explain Infrastructure Project Cost Misperformance
[NO] 1349/1881 | Temperature compensated dual-parameter sensing of lubricating oil contaminants based on Vernier effect and fiber Bragg grating
[NO] 1350/1881 | Rate-Optimal Streaming Codes over Three-Node Relay Networks with Burst Erasures
[NO] 1351/1881 | Ground-Based Cloud Type Classification for Aviation Weather Hazard Detection Using Deep Learning
[NO] 1352/1881 | ANYA: A Noteworthy Youth Annotation Dataset for Machine Learning-Based Ergonomic Posture Analysis
[NO] 1353/1881 | Parallel Delayed Memory Units for Enhanced Temporal Modeling in Biomedical and Bioacoustic Signal Analysis
[NO] 1354/1881 | Surrogate-Model-Driven Staged Sequential Multi-Condition Optimization Method of Permanent Magnet Vernier Motors
[NO] 1355/1881 | Comparison of Different Input Data for the Prediction of LED Solder Joints Using Artificial Neural Networks
[NO] 1356/1881 | RF-MAE: A Self-Supervised Adaptive Frequency Masked Autoencoder With Radio-Frequency Signal Processing Applications
[NO] 1357/1881 | Performance Analysis of Energy-Efficient Routing Protocols for Wireless Sensor Networks
[NO] 1358/1881 | A High Load Density Miniature Force Sensor for Probing With Robot Feet_supp1-3632679.mp4
[NO] 1359/1881 | Quantifying Network Dissimilarity via Augmented Networks
[NO] 1360/1881 | Multidimensional Auditable Lattice-Based Privacy-Preserving Data Aggregation Scheme in Smart Grids
[NO] 1361/1881 | Novel Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    /GO Nanocomposite-Based Highly Sensitive Optical Fiber Humidity Sensor
[NO] 1362/1881 | Self-Closing Suction Grippers for Industrial Grasping via Form-Flexible Design_supp1-3632798.mp4
[NO] 1363/1881 | Cyber Security of Sensor Systems for State Sequence Estimation: A Machine Learning Approach
[NO] 1364/1881 | BioTwinXAI-Eye: A Consumer-Centric Digital Twin for Explainable and Personalized Risk Prediction of Diabetic Retinopathy and Glaucoma
[NO] 1365/1881 | A Generative Adversarial Network Approach for Predicting Outdoor Pollution Levels using Conditional Data
[NO] 1366/1881 | Automated Short Answer Grading using Machine Learning and Deep Learning Models
[NO] 1367/1881 | Dynamic Channel Selection with Dominating Set Clustering for Cognitive MANET Routing Protocols
[NO] 1368/1881 | Energy Communities Lost in Translation: The Belgian Implementation Gap
[NO] 1369/1881 | In-Memory Computing Architecture Using Horizontally and Vertically Decoupled 10T SRAM with Multi-Layer Multiplication Units
[NO] 1370/1881 | Solver-Free Data Generation for Training Neural Networks with Applications in Power Flow Analysis
[NO] 1371/1881 | Reliable AODV Routing Algorithm Using Fuzzy Logic for Mobile Ad Hoc Networks
[NO] 1372/1881 | Performance Comparison of Various Multiple Beam WDM-FSO Communication Systems With Homodyne Detection Under Varying Atmospheric Conditions
[NO] 1373/1881 | Emotion Recognition in Indian Faces: Performance Analysis of Deep Learning Models
[NO] 1374/1881 | Explainable Machine Learning for Sleep Health Analysis Using XGBoost and SHAP Interpretability
[NO] 1375/1881 | Enhancing Cybersecurity in Healthcare Hybrid Cloud Systems with Federated Learning and Blockchain
[NO] 1376/1881 | Intelligent Cluster-Based Routing Framework for 5G Integrated Flying Ad Hoc Networks
[NO] 1377/1881 | Temporal Sentiment Analysis and Strategic Visualization of Sustainable Business Feedback From Online Forums Using NLP
[NO] 1378/1881 | Optimizing Cloud Resources for Financial Market Prediction: A Machine Learning Study on NVIDIA Stock Data
[NO] 1379/1881 | Wind Turbines Fault Detection based on the Neural Networks and Real data collection
[NO] 1380/1881 | On Tree Grading of Sapota and Yield Prediction with Computer Vision
[NO] 1381/1881 | Pothole Detection for Safer Roads Using Machine Learning
[NO] 1382/1881 | AI Implementation in Microfinance: A Systematic Review of Predictive Analytics
[NO] 1383/1881 | Anomaly Detection in IoT Networks Using Machine Learning
[NO] 1384/1881 | Sea Safe: Designing a Serious Game to Develop Awareness in Maritime Cybersecurity
[NO] 1385/1881 | Speed Control Using Active Disturbance Rejection Control Integrated with Model Predictive Control for Linear Induction Motors
[NO] 1386/1881 | Integration of photovoltaic generator in a medium voltage electrical grid
[NO] 1387/1881 | Consideration of Nodal Cross-Correlation in Reliability Assessment of Bulk Electric Systems with Net-zero Emission Targets
[NO] 1388/1881 | Isosceles Trapezoidal TSVs for High-Density Interconnects in 3D ICs and Crosstalk Analysis
[NO] 1389/1881 | Universal Power Electronic Interface in Residential DC Microgrids
[NO] 1390/1881 | Explainable AI-based Framework for efficient energy exchange between Smart Grid and Smart Homes
[NO] 1391/1881 | Implementing Grover’s Algorithm on NISQ Chips
[YES] 1392/1881 | Multi-Tool Static Code Analysis for Code Smell and Bug Detection: A Case Study on the Java-Design-Patterns Repository
[NO] 1393/1881 | Autonomous Indoor Navigator
[NO] 1394/1881 | CNN based multiclass brain tumor classification from MRI images
[NO] 1395/1881 | Interaction Design Based on Cloud Video and Personalized Multimodal Network Model
[YES] 1396/1881 | Next-Gen Physical Design with AI
[NO] 1397/1881 | FiTBiT: FPGA File Transfer system powered by Blockchain Technology
[NO] 1398/1881 | The Role Of Artificial Intelligence In IoT Data Analysis For Management Optimization
[NO] 1399/1881 | Simulink to Silicon: Deploying and Validating Neural Network-Based SoC Estimation of Batteries on ZedBoard FPGA
[NO] 1400/1881 | HM2GP: A Multi-Version Task Scheduler with Extended Precedence Constraints on COTS SoCs
[NO] 1401/1881 | Empowering Investor Engagement: Role of Agentic AI in Financial Advisory Adoption
[NO] 1402/1881 | Smart Fuzzy Energy Management System for IoT-Driven Vehicular Ad Hoc Networks
[NO] 1403/1881 | Electrical Power Consumption Forecasting Using Wavelet and Retention Networks
[NO] 1404/1881 | Optimized FPGA Implementation of Audio Compression Using LPC and GOLOMB Coding
[NO] 1405/1881 | Resilient and Online Reconfiguration of Distribution Systems into Multi-Islanded Microgrids
[NO] 1406/1881 | Pneumonia Detection from Chest X-ray Images Using Various Transfer Learning Models
[NO] 1407/1881 | MultiPath Deep Lung Cancer Classification Network Utilizing Normal and Dilated Convolution Along with Residual Connection
[NO] 1408/1881 | A Call to Arms: Motivating An Internet Measurements Observatory for Africa
[NO] 1409/1881 | Low-Noise Stabilization Mechanism to Enhance the Performance of High-Gain Silicon-Graphene Photodetectors
[NO] 1410/1881 | Frequency Domain-DQN for Flexible Photovoltaic Power Point Tracking under Noisy Operating Condition
[NO] 1411/1881 | RAPID-RTX: a novel real-time radiative transfer and force field modeling framework for forest BRF simulations
[NO] 1412/1881 | Charge Trap Flash-Gated Inverter-based In-Memory Analog-to-Digital Converter for Compute-in-Memory
[NO] 1413/1881 | High-power Narrow-linewidth C-band DFB Laser Array with High-uniform Wavelength Spacing
[NO] 1414/1881 | A Robust SINS/DVL/PS Tightly Integrated Navigation Method Under Partial Beam Failure
[NO] 1415/1881 | Repositioning Submarine Communication Cables Using Ship Waves Based on Integrated Sensing and Communication Network
[NO] 1416/1881 | High-Performance Serverless Computing: A Systematic Literature Review on Serverless for HPC, AI, and Big Data
[NO] 1417/1881 | Retrieving all-day surface downwelling longwave radiation under cloudy-sky conditions using FengYun-4A geostationary satellite data
[NO] 1418/1881 | Cloud Energy Internet Based High Optimum Control of Residential ESS-PV Inverters in Local Power Systems
[NO] 1419/1881 | A Sequential Doppler Offset (SDO) Method for Locating Targets Causing Azimuth Fractional Ambiguity in Spaceborne HRWS-SAR
[NO] 1420/1881 | HCHO Sensor based on CuO@InO Hollow Spheres Film for Lung Cancer Detection: Exploration of Superior Performance in High Humidity Environments_supp1-3629123.docx
[NO] 1421/1881 | DFD-Stereo: Dual-domain Feature Decoupling for Stereo Matching
[NO] 1422/1881 | Sensing with Mobile Devices through Radio SLAM: Models, Methods, Opportunities, and Challenges
[NO] 1423/1881 | Comparison of Nb
                    <sub>3</sub>
                    Sn Insulation Systems with As Received and De-Sized Glass
[NO] 1424/1881 | Hierarchical Resource Optimization in Multi-UAV RIS-Assisted ISAC Networks with Uplink NOMA
[NO] 1425/1881 | Fitts' List Revisited: An Empirical Study on Function Allocation in a Two-Agent Physical Human-Robot Collaborative Position/Force Task_supp1-3632607.mp4
[NO] 1426/1881 | Deep Learning based Transceiver Design for Terahertz Communication
[NO] 1427/1881 | Bridging Competencies and Outcomes: An Empirical Study of Healthcare Quality Improvement Framework
[NO] 1428/1881 | Conditional Fourier neural operator for prediction of ultrafast nonlinear dynamics in optical fibers
[NO] 1429/1881 | Outage Analysis in Directional NTN Links With UAV Platform Instabilities
[NO] 1430/1881 | Multi-stage Heterogeneous Decoupling Network for Lithium-ion Battery State-of-Health Estimation
[NO] 1431/1881 | RISA: Simulated Annealing-Based Algorithm for RIS Adjustment in Time-Varying Channels
[NO] 1432/1881 | The Role of Good Design in Fostering Autonomy for Individuals with Reduced Mobility in Beach Environments
[NO] 1433/1881 | Assessing Heating Electrification Trade-Offs Using Data-Driven Modelling for Future Grid Planning
[NO] 1434/1881 | Research on Path Planning Algorithm in Autonomous Vehicle
[NO] 1435/1881 | Data-Driven Irrigation Optimization: Comparative Study of ML and DL Models
[NO] 1436/1881 | Methodology for assesment of induced voltage on human body in the vicinity of overhead electric lines
[NO] 1437/1881 | Power allocation Strategies in 5G: A Comparative Analysis of Water filling algorithm and Proximal Policy Optimization Algorithms
[YES] 1438/1881 | Edge-Enabled Intelligent Framework for Cyber Threat Classification and Adaptive Anomaly Mitigation
[NO] 1439/1881 | Wearable Robotics for Post-Stroke Motor Rehabilitation: Challenges and Opportunities
[NO] 1440/1881 | Improved CEEDMAN Based Signal Decomposition and PCNN with Transfer Learning for Motor Imagery Classification
[NO] 1441/1881 | Efficient Nail Disease Diagnosis Using Deep Neural Networks for Predicting Abnormalities
[NO] 1442/1881 | Challenges and First Lessons Learned for NIS2: Directive Implementation in Banking Sector
[NO] 1443/1881 | Explainable SCADA Hybrid IDS: Gaps and Hypothesis
[NO] 1444/1881 | A Multimodal Graph-Based Machine Learning Approach for Depression Detection
[NO] 1445/1881 | A Review on p - Tribonacci Numbers, its Golden Ratios and Q - Type Matrices: Novel Approaches to Secure Encryption and Image Security
[NO] 1446/1881 | The Optimization for New Electricity System Innovation Demands Identification
[NO] 1447/1881 | The Basic Engagement Zone in 3-D
[NO] 1448/1881 | Techno-Economic Feasibility and Analysis of Hybrid Renewable Energy Microgrids for a University Campus
[YES] 1449/1881 | On Enhancing the Security Against Memory Disclosure Attacks
[NO] 1450/1881 | Machine Learning and IOT-Based Predictive Analytics for Smart Grid Load Balancing and Demand Forecasting
[NO] 1451/1881 | Tailored Voice Activation for Enhanced Accessibility
[NO] 1452/1881 | Steane and Iceberg Code Implementations on Toffoli Gates
[NO] 1453/1881 | Early Diagnosis of Inter-Turn Faults in Permanent Magnet Synchronous Motors During Start-Up Phase
[NO] 1454/1881 | Novel Verification IP (VIP) for AXI4 Interconnects Employing Universal Verification Methodology (UVM)
[NO] 1455/1881 | Enhanced Machine Learning Techniques of PCOS Hormonal Prediction
[NO] 1456/1881 | Optimization and Application of Intelligent City Algorithms Based on 5G Communication Technology
[NO] 1457/1881 | Hybrid FOC-DTC Controller for Optimized Speed and Torque Regulation of PMSM
[NO] 1458/1881 | A Reduced Component Triple-Gain Seven-Level Inverter for Fuel Cells: Design and Implementation
[NO] 1459/1881 | Explainable Machine Learning for RSSI to Distance Conversion
[YES] 1460/1881 | Performance Evaluation of Flan-T5 in CGLA based Accelerators
[NO] 1461/1881 | A Case for Learned Cloud Emulators
[NO] 1462/1881 | Path-Oblivious Entanglement Swapping for the Quantum Internet
[NO] 1463/1881 | Your network doesn't end at the NIC
[YES] 1464/1881 | Web3Agent: Automating On-Chain Operations via Natural Language Interfaces
[NO] 1465/1881 | Flow-Aided Flight Through Dynamic Clutters From Point to Motion_supp1-3632608.mp4
[NO] 1466/1881 | Self-powered MXene@PEDOT:PSS/Sb
                    <sub>2</sub>
                    Se
                    <sub>3</sub>
                    /GaAs hybrid heterojunction photodetector enabling autonomous multi-band obstacle avoidance
[NO] 1467/1881 | MEIO-Net: A Motion-Aware Early-Exit Inertial Odometry Network for Efficient Pedestrian Dead Reckoning (PDR)
[NO] 1468/1881 | Human Radar Cross Section Measurements in a Bio-Radar Scenario using a 5.8 GHz Continuous-Wave Radar
[NO] 1469/1881 | Cross-Modal Information Aggregation Network With Feature Enhancement for Pansharpening
[NO] 1470/1881 | ICSCC 2025 Cover Page
[NO] 1471/1881 | Multi-weather GPR Image Registration and Localization Based on Adaptive Hyperbolic Receptive Fields
[NO] 1472/1881 | EIRM-RL: Epistemic Integrity Risk Monitoring Inspired Safe Reinforcement Learning for Trustworthy Autonomous Navigation
[NO] 1473/1881 | Experimental validation of slot Effects in 2D Axial Flux motors via Conformal Mapping
[NO] 1474/1881 | Multimode Fiber Imaging with Bit-plane Encoding: Improving Fidelity and Speed
[NO] 1475/1881 | WCONF 2025 Messages
[NO] 1476/1881 | IC_ASET 2025 Keyword Index
[NO] 1477/1881 | EPEC 2025 Index
[NO] 1478/1881 | Res-UNet-GRU: A Data-Driven Near-Field Sensing Approach in ISAC-based Low-Altitude Networks
[NO] 1479/1881 | Copyright and Reprint Permissions
[NO] 1480/1881 | Copyright Page
[NO] 1481/1881 | Table of Contents
[NO] 1482/1881 | IEEE Electon Devices Society Awards
[NO] 1483/1881 | An Explainable Machine Learning Framework for IOPS Degradation Modeling and Slot-level HDD Layout Optimization
[NO] 1484/1881 | Digital Twin-Based Virtual Sensing for Real-Time Process Monitoring of Marine Reciprocating Natural Gas Compressor Packages
[NO] 1485/1881 | Uncovering the Dark Patterns of Phishing Emails: An Eye-Tracking Analysis
[NO] 1486/1881 | Enhancing Agricultural Decision Making with an AI-Powered Crop Recommendation Engine
[NO] 1487/1881 | Efficient Interpolation Techniques and Realization Structures for Continuously Variable Bandwidth Filters
[NO] 1488/1881 | Agri-Detect: A Transfer Learning Framework for Scalable Disease Diagnosis in Staple Crops
[NO] 1489/1881 | Classification of Path Planning Algorithms for Autonomous Mobile Robot Navigation In Dynamic and Unknown Environments
[NO] 1490/1881 | Analysis of Factors Influencing Used Car Prices Based on Regression Model
[NO] 1491/1881 | Stealthy Virtual Channel Blocking: A Hardware Trojan Attack on NoC in Tiled Chip Multicore Processors
[NO] 1492/1881 | DeepRetina: An Automated Framework for Diagnosing Retinal Pathologies Using Optical Coherence Tomography and Deep Learning
[NO] 1493/1881 | Predictive Machine Learning Approaches for Microbial Evolution
[YES] 1494/1881 | Blockchain-Based E-Procurement System Enhancing Data Security Within Ethereum Smart Contracts
[NO] 1495/1881 | DERs Role in Canada’s Energy Transition: Barriers and Pathways in British Columbia and Ontario
[NO] 1496/1881 | Deep Learning-Based Price Prediction of Cryptocurrencies Targeted at Financial Institutions
[NO] 1497/1881 | Support Vector Machine Classification of Data Dependency Graphs
[NO] 1498/1881 | Exploring GenAI-Based Voice Assistants as Social Companions in Old-Age Homes
[NO] 1499/1881 | QR-Code Guided Autonomous Medical Assistant Robot for Indoor Hospital Environments
[NO] 1500/1881 | Analysis and Simulation of an Electro-Optic Modulator Based on a Hybrid Si/Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    /Graphene Waveguide
[NO] 1501/1881 | Augmented Reality in Industrial applications
[NO] 1502/1881 | Cloud-Based Solutions in Healthcare Systems: A Systematic Review of Current Practices and Future Directions
[NO] 1503/1881 | From Ops to Experience: AIOps-Enabled MLOps with Identity-Aware and Customer-Informed Pipelines
[NO] 1504/1881 | Multi-Hop Clustering with Mobility Awareness for Reliable Safety Message Transmission in V ANETs
[NO] 1505/1881 | Super-Twisting Sliding Mode Control for Improved Trajectory Tracking in Lower-Limb Rehabilitation Exoskeleton
[NO] 1506/1881 | Transformer-Based End-to-End ECM Parameter Inference for Online Battery Voltage Prediction
[NO] 1507/1881 | Diabetic Retinopathy Application Research and Artificial Intelligence for Enhanced Patient Care
[NO] 1508/1881 | Integrating Support Vector Machines and Deep Learning for Evaluating Ethics and Social Responsibility Among Students in Higher Education
[NO] 1509/1881 | Satellite Image Classification Using Different Deep Learning Models for Indian States
[NO] 1510/1881 | Contour Based Tracking v.s. Hough Transform Based Tracking: A RC Car Experiment
[NO] 1511/1881 | AI and Data Science for Predictive Maintenance in Industry 4.0
[NO] 1512/1881 | Explore Hybrid Quantum-Classical Models for Enhanced Image Recognition
[NO] 1513/1881 | “I'd love a microchip in my brain because there would be no homework.” – School Children Reimagine the Future of Education with Emerging Technologies
[NO] 1514/1881 | ESFY: A Gamified Digital Phenotyping System for Self-Monitoring of Psychological Distress
[NO] 1515/1881 | CraterSense: Efficient and Robust Crater-Based Lunar Localization System with Structure-Aware Sparse Transformer
[NO] 1516/1881 | Lessons from Deploying Learning-based CSI Localization on a Large-Scale ISAC Platform
[NO] 1517/1881 | Wireless Technologies for 6G and Beyond: Applications, Implementations, and Standardization
[NO] 1518/1881 | Global Aerosol Retrieval over Land Using the Chinese Satellite Polarimeter DPC-2/GF-5(02)
